"Trial","Components","Workload","Microservices","DRAM_Energy","PKG_Energy"
2,KEDA,With,4,0.052115,9.51
2,KEDA,Without,4,0.053197,9.51
2,KEDA,With,8,0.052237,9.51
2,KEDA,Without,8,0.053230,9.51
2,KEDA,With,14,0.051988,9.51
2,KEDA,Without,14,0.053706,9.51
3,KEDA,With,1,0.052350,9.51
3,KEDA,Without,1,0.053717,9.51
3,KEDA,With,4,0.052348,9.51
3,KEDA,Without,4,0.053375,9.51
3,KEDA,With,8,0.052108,9.51
3,KEDA,Without,8,0.053198,9.51
3,KEDA,With,14,0.052683,9.51
3,KEDA,Without,14,0.053205,9.51
4,KEDA,With,1,0.053746,9.51
4,KEDA,Without,1,0.052834,9.51
4,KEDA,With,4,0.052957,9.52
4,KEDA,Without,4,0.052494,9.51
4,KEDA,With,8,0.053566,9.51
4,KEDA,Without,8,0.052312,9.51
4,KEDA,With,14,0.053696,9.51
4,KEDA,Without,14,0.052951,9.51
5,KEDA,With,1,0.052553,9.51
5,KEDA,Without,1,0.053147,9.51
5,KEDA,With,4,0.052050,9.51
5,KEDA,Without,4,0.053212,9.51
5,KEDA,With,8,0.052744,9.51
5,KEDA,Without,8,0.052583,9.51
5,KEDA,With,14,0.053877,9.51
5,KEDA,Without,14,0.052818,9.51
