"Autoscaling","count","Minimum","Q1","Median","Mean","SD","Q3","Maximum"
"Carbon_Aware_KEDA",84,3.11,4.252,6.59,9.66,7.266,13.67,29.94
"HPA_Based",84,3.13,3.245,7.17,15.642,16.079,28.422,65.58
